date,profit,trades,win_rate,largest_win,largest_loss
20241204,-656.2162685394396,20,0.35,110.55128860473633,-209.7393093109131
20241205,246.76704788207826,20,0.55,176.4902286529541,-149.89797973632812
20241206,487.60214996337163,18,0.6111111111111112,161.5264549255371,-93.42015838623047
20241209,-295.47455596923646,16,0.3125,89.67030715942514,-154.291259765625
20241210,-291.6051959991437,13,0.23076923076923078,50.699672698975995,-123.37380981445027
20241211,-178.7878818511981,14,0.35714285714285715,84.63983154296744,-86.96573638916152
20241212,-63.87872505188534,10,0.5,63.360107421875,-160.51177978515625
20241213,-314.6913490295392,19,0.3157894736842105,135.5376205444336,-148.35844230651728
20241216,-130.88084030152095,21,0.42857142857142855,237.80012512206798,-125.6949234008789
20241217,38.78430175781068,16,0.5,97.71257400512695,-76.12984848022461
