position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
LONG,2024-12-04 09:35:00-05:00,28.1200008392334,2024-12-04 09:38:00-05:00,27.790000915527344,-0.3299999237060547,-1.1735416566760355,3.0,Stop Loss
LONG,2024-12-04 09:43:00-05:00,28.03499984741211,2024-12-04 09:45:00-05:00,27.850000381469727,-0.1849994659423828,-0.6598875225585563,2.0,Stop Loss
LONG,2024-12-04 09:51:00-05:00,28.0,2024-12-04 09:54:00-05:00,27.76000022888184,-0.2399997711181605,-0.8571420397077161,3.0,Stop Loss
SHORT,2024-12-04 09:55:00-05:00,27.540000915527344,2024-12-04 09:58:00-05:00,27.7052001953125,-0.16519927978515625,-0.599852121617088,3.0,Stop Loss
LONG,2024-12-04 09:59:00-05:00,27.960100173950195,2024-12-04 10:01:00-05:00,27.708799362182617,-0.2513008117675781,-0.8987836603021527,2.0,Stop Loss
LONG,2024-12-04 10:03:00-05:00,28.09000015258789,2024-12-04 10:04:00-05:00,27.93000030517578,-0.15999984741210938,-0.5695971753042829,1.0,Stop Loss
LONG,2024-12-04 10:10:00-05:00,28.200000762939453,2024-12-04 10:24:00-05:00,28.020000457763672,-0.18000030517578125,-0.6382989372551306,14.0,Stop Loss
SHORT,2024-12-04 10:25:00-05:00,27.989999771118164,2024-12-04 10:26:00-05:00,28.170000076293945,-0.18000030517578125,-0.6430879122818602,1.0,Stop Loss
LONG,2024-12-04 10:31:00-05:00,28.649999618530277,2024-12-04 10:51:00-05:00,28.82999992370605,0.18000030517577414,0.6282733248601978,20.0,Reversal
LONG,2024-12-04 10:56:00-05:00,29.290000915527344,2024-12-04 11:01:00-05:00,29.13999938964844,-0.1500015258789027,-0.5121253710831508,5.0,Stop Loss
SHORT,2024-12-04 11:02:00-05:00,29.3700008392334,2024-12-04 12:50:00-05:00,25.920000076293945,3.450000762939453,11.746682548033265,108.0,Reversal
SHORT,2024-12-04 12:57:00-05:00,25.68000030517578,2024-12-04 12:59:00-05:00,25.84000015258789,-0.15999984741210938,-0.6230523579077277,2.0,Stop Loss
LONG,2024-12-04 13:00:00-05:00,25.850000381469727,2024-12-04 13:01:00-05:00,25.71999931335449,-0.13000106811523793,-0.5029054785176239,1.0,Stop Loss
SHORT,2024-12-04 13:03:00-05:00,25.582000732421875,2024-12-04 13:07:00-05:00,25.7450008392334,-0.16300010681152344,-0.6371671571603932,4.0,Stop Loss
LONG,2024-12-04 13:08:00-05:00,25.799999237060547,2024-12-04 13:09:00-05:00,25.665000915527344,-0.13499832153320312,-0.5232493237413901,1.0,Stop Loss
LONG,2024-12-04 13:16:00-05:00,25.82819938659668,2024-12-04 13:50:00-05:00,26.00309944152832,0.17490005493164062,0.6771670464275705,34.0,Reversal
SHORT,2024-12-04 13:51:00-05:00,26.13330078125,2024-12-04 13:58:00-05:00,26.26000022888184,-0.1266994476318395,-0.4848199188169266,7.0,Reversal
SHORT,2024-12-04 14:06:00-05:00,26.045000076293945,2024-12-04 14:09:00-05:00,26.25,-0.2049999237060547,-0.7870989560589206,3.0,Stop Loss
LONG,2024-12-04 14:11:00-05:00,26.318300247192383,2024-12-04 14:13:00-05:00,26.1427001953125,-0.1756000518798828,-0.6672165384184174,2.0,Stop Loss
LONG,2024-12-04 14:39:00-05:00,26.420000076293945,2024-12-04 14:53:00-05:00,26.3700008392334,-0.049999237060546875,-0.18924767947071292,14.0,Reversal
LONG,2024-12-04 14:56:00-05:00,26.450000762939453,2024-12-04 14:58:00-05:00,26.290000915527344,-0.15999984741210938,-0.6049143394970858,2.0,Stop Loss
LONG,2024-12-04 15:07:00-05:00,26.479999542236328,2024-12-04 15:12:00-05:00,26.25,-0.22999954223632812,-0.86857834672343,5.0,Stop Loss
SHORT,2024-12-04 15:13:00-05:00,26.23259925842285,2024-12-04 15:18:00-05:00,26.350000381469727,-0.117401123046875,-0.4475390406049048,5.0,Reversal
LONG,2024-12-04 15:20:00-05:00,26.268400192260746,2024-12-04 15:28:00-05:00,26.309999465942383,0.04159927368163707,0.1583624178753495,8.0,Reversal
LONG,2024-12-04 15:36:00-05:00,26.66010093688965,2024-12-04 15:45:00-05:00,26.5,-0.16010093688964844,-0.6005263718567411,9.0,Stop Loss
SHORT,2024-12-04 15:52:00-05:00,26.37459945678711,2024-12-04 15:55:00-05:00,26.54700088500977,-0.1724014282226598,-0.653664631021704,3.0,Stop Loss
SHORT,2024-12-04 15:58:00-05:00,26.47900009155273,2024-12-04 15:59:00-05:00,26.479999542236328,-0.0009994506835973027,-0.003774503116211496,1.0,End of Day
SHORT,2024-12-05 09:35:00-05:00,25.739999771118164,2024-12-05 09:42:00-05:00,25.90999984741211,-0.1700000762939453,-0.6604509627257094,7.0,Stop Loss
LONG,2024-12-05 09:52:00-05:00,26.290000915527344,2024-12-05 09:58:00-05:00,26.114200592041016,-0.17580032348632812,-0.668696528582079,6.0,Stop Loss
SHORT,2024-12-05 09:59:00-05:00,26.09499931335449,2024-12-05 10:00:00-05:00,26.57999992370605,-0.4850006103515625,-1.8585959881721725,1.0,Stop Loss
LONG,2024-12-05 10:07:00-05:00,26.840599060058597,2024-12-05 10:19:00-05:00,26.530000686645508,-0.3105983734130895,-1.1571961293341246,12.0,Stop Loss
