,Open,High,Low,Close,Volume,min,max
Open,1.0,0.9900296967530311,0.9994703753661263,0.9913224778553439,0.6060437951259018,0.9911760153737179,0.9913224778553439
High,0.9900296967530311,1.0,0.9905912493458373,0.9996553210054827,0.7066467723950305,0.9994664623440379,0.9996553210054827
Low,0.9994703753661263,0.9905912493458373,1.0,0.9921075067728492,0.6086602808682499,0.9909042106867973,0.9921075067728492
Close,0.9913224778553439,0.9996553210054827,0.9921075067728492,1.0,0.700373035904108,0.9992203004087105,1.0
Volume,0.6060437951259018,0.7066467723950305,0.6086602808682499,0.700373035904108,1.0,0.6983382034520231,0.7003730359041083
min,0.9911760153737179,0.9994664623440379,0.9909042106867973,0.9992203004087105,0.6983382034520231,1.0,0.9992203004087091
max,0.9913224778553439,0.9996553210054827,0.9921075067728492,1.0,0.7003730359041083,0.9992203004087091,1.0
